model_label,n,word_count_mean,specificity_mean,crisis_number_rate,fabrication_rate,religion_mean,family_mean,professional_mean,sentiment_mean
Nemotron-3-Super-120B,160,161.156,0.269,0.138,0.006,0.044,0.2,0.138,0.132
Llama-3.3-70B-Versatile,160,337.712,0.612,0.231,0.0,0.006,0.931,1.925,0.91
Llama-4-Scout-17B,160,391.956,0.712,0.294,0.0,0.012,1.05,2.319,0.893
Mistral-Small-2506,160,377.881,1.95,0.419,0.0,0.394,1.056,2.2,0.934
Gemma-4-26B-A4B-IT,160,940.706,3.206,0.575,0.006,0.688,1.819,5.675,0.455
GPT-OSS-120B,160,1013.912,3.831,0.819,0.038,0.5,1.631,4.631,0.943
Qwen3-32B,160,534.094,3.881,0.588,0.0,1.019,1.744,2.288,0.946
